 3033.5083 Ar II
 3049.0924 Th II
 3060.4389 Th I
 3072.1150 Th II
 3078.8280 Th II
 3080.2170 Th II
 3093.4019 Ar II
 3119.5262 Th II
 3124.3874 Th II
 3161.3726 Ar II
 3169.6685 Ar II
 3180.1937 Th II
 3181.0376 Ar II
 3184.9486
 3188.2339
 3204.3210 Ar II
 3205.0912
 3210.3085 Th II
 3211.1943 Th I
 3212.0220 Th
 3213.5741 Th II
 3220.3508 Th II
 3227.8028
 3229.0096 Th II
 3234.9962
 3235.8400 Th
 3238.9343 Th I
 3241.1079
 3242.3790
 3243.6887 Ar II
 3244.4488 Th I
 3245.7603 Th II
 3249.8003 Ar II
 3251.9159 Th I
 3253.8659 Th I
 3256.2738 Th II
 3257.3667 Th I
 3258.1220
 3262.6684 Th II
 3272.0268 Th I 
 3273.9157 Th II
 3275.0676 Th II 
 3276.1712 Th
 3280.3713 Th II 
 3281.7016 Ar II
 3282.6166 Th
 3285.7525 Th I 
 3286.5829 Th II
 3287.7893 Th II 
 3291.7394 Th II 
 3292.5209 Th II
 3293.6988
 3298.0498 Th I 
 3299.6687 Th II
 3304.2383 Th I
 3305.3036 Th I 
 3307.2283 Ar II
 3309.3654 Th I
 3313.6784 Th
 3314.8268 Th II 
 3321.4508 Th II 
 3322.0933 Th I 
 3327.1931 Th I 
 3329.7284 Th I
 3330.4770 Th I 
 3333.1290 Th I
 3334.6041 Th II 
 3336.1618 Th II 
 3337.8703 Th II 
 3340.7254 Th I 
 3346.5560 Th II 
 3348.7684 Th I
 3354.1796 Th II
 3358.6020 Th II 
 3360.9982 Th I
 3364.6855 Th II 
 3365.3383 Th I 
 3366.5171 Th II
 3371.7967 Th II
 3372.8230 Th 
 3373.4925 Th I
 3374.9749 Th I
 3376.4359 Ar II
 3378.5734 Th II
 3380.8595 Th I 
 3383.1068 Th II
 3385.5316 Th II 
 3386.5006 Th II
 3388.5309 Ar II
 3392.0349 Th II 
 3396.7278 Th I 
 3397.5161 Th I
 3398.5448 Th I 
 3401.7110 Th I
 3402.6952 Th II 
 3405.5584 Th I 
 3408.7499 Th I
 3410.0756 Th I 
 3413.0130 Th I
 3415.8846 Th I 
 3417.4978 Th I
 3421.2100 Th I 
 3422.6561 Th I 
 3423.9897 Th I 
 3427.0923 Th I 
 3428.9992 Th I 
 3431.8104 Th II 
 3433.9988 Th II 
 3434.7271 Th I 
 3435.9771 Th II 
 3436.7272 Th I 
 3437.3071 Th I 
 3439.3987 Th I 
 3442.5790 Th I 
 3446.5474 Th I 
